ta_check,description
RDS DB Cluster Deletion Protection Check,"Description: Checks if your Amazon RDS DB clusters have deletion protection enabled.

When a cluster is configured with deletion protection, the database cannot be deleted by any user..

Deletion protection is available for Amazon Aurora and Amazon RDS for MySQL, MariaDB, Oracle, PostgreSQL, and SQL Server database instances in all AWS Regions.

For more information, see Deletion protection for Aurora clusters.

Source
AWS Config Managed Rule: rds-cluster-deletion-protection-enabled

Alert Criteria
Yellow: RDS DB Cluster has not enable deletion protection. 

Recommended Action
Turn on deletion protection when you create an RDS DB cluster.

You can only delete cluster that don't have deletion protection enabled. Enabling deletion protection adds an extra layer of protection and avoids data loss from accidental or non-accidental deletion of a database instance. Deletion protection also helps meet regulatory compliance requirements and ensure business continuity.

For more information, see Deletion protection for Aurora clusters
"
Amazon ECR private repositories should have image scanning enabled,"Description: Checks if a private ECR repository has image scanning enabled. This check fails if a private ECR repository has image scanning disabled. Amazon ECR image scanning helps in identifying software vulnerabilities in your container images. Amazon ECR uses the Common Vulnerabilities and Exposures (CVEs) database from the open-source Clair project and provides a list of scan findings. Enabling image scanning on ECR repositories adds a layer of verification for the integrity and safety of the images being stored.

Source
AWS Security Hub
Security Hub Control Id: ECR.1

Alert Criteria
Red: Critical or High Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
EBS default encryption should be enabled,"Description: Checks if Amazon Elastic Block Store (EBS) encryption is enabled by default. The check fails if EBS default encryption is not enabled.

Source
AWS Security Hub
Security Hub control ID: EC2.7

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
RDS DB Cluster has no Multi-AZ replication enabled,"Description: Checks if your Amazon RDS DB clusters have Multi-AZ replication enabled.

A Multi-AZ DB cluster has a writer DB instance and two reader DB instances in three separate Availability Zones. Multi-AZ DB clusters provide high availability, increased capacity for read workloads, and lower latency when compared to Multi-AZ deployments.

For more information, see Creating a Multi-AZ DB cluster

Source
AWS Config Managed Rule: rds-cluster-multi-az-enabled

Alert Criteria
Yellow: Your RDS DB cluster does not have Multi-AZ replication confgiured.

Recommended Action
urn on Multi-AZ DB cluster deployment when you create an RDS DB cluster.

For more information, see Creating a Multi-AZ DB cluster.

Additional Resources
Multi-AZ DB cluster deployments"
Elastic Load Balancing Deletion Protection Not Enabled for Load Balancers,"Description: Checks if deletion protection is turned on for your load balancers.

Elastic Load Balancing supports deletion protection for your Application Load Balancers, Network Load Balancers, and Gateway Load Balancers. Turn on deletion protection to prevent your load balancer from accidental deletion. Deletion protection is turned off by default when you create a load balancer. If your load balancers are part of a production environment, then consider turning on deletion protection.

For more information, see Application Load Balancer Deletion protection,  Network Load Balancer Deletion protection and Gateway Load Balancer Deletion protection.

Source
AWS Config Managed Rule: elb-deletion-protection-enabled

Alert Criteria
Yellow: Deletion protection is not enabled for a load balancer.

Recommended Action
Turn on deletion protection for your Application Load Balancers, Network Load Balancers, and Gateway Load Balancers.

For more information, see Application Load Balancer Deletion protection, Network Load Balancer Deletion protection and Gateway Load Balancer Deletion protection documentation.

Additional Resources
Application Load Balancer Deletion Protection
Network Load Balancer Deletion Protection
Gateway Load Balancer Deletion Protection"
"Application, Network and Gateway Load Balancers Not Spanning Multiple Availability Zones","Description: Checks If your load balancers (Application, Network, and Gateway Load Balancer) are configured with subnets across multiple Availability Zones.



For more information, see Availability Zones for your Application Load Balancer, Availability Zones - Network Load Balancer and Create a Gateway Load Balancer.

Source
AWS Config Managed Rule: elbv2-multiple-az

Alert Criteria
Yellow: Application, Network, or Gateway Load Balancers configured with subnets in less than two Availability Zones.

Recommended Action
Configure your Application, Network, and Gateway Load Balancers with subnets across multiple Availability Zones.
"
CloudTrail should be enabled and configured with at least one multi-region trail,"Description: Checks that there is at least one multi-region AWS CloudTrail trail.

Source
AWS Security Hub
Security Hub control ID: CloudTrail.1

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
RDS Database Clusters should use a custom administrator username,"Description: Checks if an RDS database cluster has changed the admin username from its default value. This rule will fail if the admin username is set to the default value.

Source
AWS Security Hub
Security Hub Control Id: RDS.24

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Secrets Manager secrets should be rotated within a specified number of days,"Description: Checks if your secrets have rotated at least once within 90 days.

Source
AWS Security Hub
Security Hub control ID: SecretsManager.4

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
RDS database instances should use a custom administrator username,"Description: Checks if an Amazon Relational Database Service (Amazon RDS) database instance has changed the admin username from its default value. This rule will only run on RDS database instances. The rule will fail if the admin username is set to the default value.

Source
AWS Security Hub
Security Hub Control Id: RDS.25

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Secrets Manager secrets configured with automatic rotation should rotate successfully,"Description: Checks if an AWS Secrets Manager secret rotated successfully based on the rotation schedule. The check fails if RotationOccurringAsScheduled is false. The check does not evaluate secrets that do not have rotation configured.

Source
AWS Security Hub
Security Hub control ID: SecretsManager.2

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
